level,course_id,id,class,x_px,y_px,u16_3,settings,u16_5
course/A01_1.bin,A01_1,148,Object148,384,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,1552,464,0,0,0
course/A01_1.bin,A01_1,149,Object149,2080,464,0,0,0
course/A01_1.bin,A01_1,149,Object149,2224,400,0,1,0
course/A01_1.bin,A01_1,32,,4032,448,0,0,0
course/A01_1.bin,A01_1,264,Object264,1376,256,0,0,0
course/A01_1.bin,A01_1,155,Object155,2192,80,0,64,33
course/A01_1.bin,A01_1,235,Object235,1952,336,0,0,0
course/A01_1.bin,A01_1,235,Object235,2928,448,0,528,0
course/A01_1.bin,A01_1,148,Object148,3056,416,0,0,0
course/A01_1.bin,A01_1,148,Object148,2944,416,0,0,0
course/A01_1.bin,A01_1,149,Object149,3696,400,0,1,0
course/A01_1.bin,A01_1,149,Object149,3504,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,3280,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,3536,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,2640,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,992,464,0,0,0
course/A01_1.bin,A01_1,148,Object148,2192,464,0,0,0
course/A01_1.bin,A01_1,117,Object117,256,416,0,1,0
course/A01_1.bin,A01_1,132,Object132,2448,368,0,0,0
course/A01_1.bin,A01_1,148,Object148,1168,464,0,0,0
course/A01_1.bin,A01_1,45,Object45,3808,416,0,4384,0
course/A01_1.bin,A01_1,45,Object45,3824,400,0,4368,1
course/A01_1.bin,A01_1,45,Object45,3840,384,0,320,0
course/A01_1.bin,A01_1,45,Object45,3856,368,0,4384,1
course/A01_1.bin,A01_1,45,Object45,3872,368,0,4384,0
course/A01_1.bin,A01_1,117,Object117,2720,416,0,17,0
course/A01_1.bin,A01_1,198,Object198,1792,320,0,0,4096
course/A01_1.bin,A01_1,199,Object199,2048,320,0,0,4096
course/A01_2.bin,A01_2,34,,176,368,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,256,384,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,304,352,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,320,352,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,448,336,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,464,336,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,368,384,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,528,320,23,0,0
course/A01_2.bin,A01_2,106,FireSnake,608,304,23,0,0
course/A01_2.bin,A01_2,155,Object155,736,496,0,2561,4112
course/A01_2.bin,A01_2,323,Object323,0,432,0,13,0
course/A01_2.bin,A01_2,323,Object323,416,384,0,1,0
course/A01_2.bin,A01_2,323,Object323,496,352,0,0,0
course/A01_2.bin,A01_2,323,Object323,848,432,0,2,0
course/A01_2.bin,A01_2,323,Object323,544,432,0,6,0
course/A01_2.bin,A01_2,155,Object155,352,496,0,3335,4112
course/A01_2.bin,A01_2,315,Object315,32,272,0,34880,250
course/A01_2.bin,A01_2,315,Object315,48,272,0,34880,240
course/A01_3.bin,A01_3,148,Object148,160,208,0,0,0
